ingredient_obo_uri	pt_obo_uri
CHEBI_4911	HP_0002027
CHEBI_8249	HP_0002027
CHEBI_4710	HP_0002027
 CHEBI_3084	HP_0002027
CHEBI_6807	HP_0002027
CHEBI_47499	HP_0002027
CHEBI_6912	HP_0002027
CHEBI_90863	HP_0002027
CHEBI_10127	HP_0002027
CHEBI_16714	HP_0002027
CHEBI_85978	HP_0002027
CHEBI_490877	HP_0002027
CHEBI_6343	HP_0002027
CHEBI_50217	HP_0002027
 CHEBI_60654	HP_0002027
CHEBI_63635	HP_0034057
CHEBI_63629	HP_0034057
 CHEBI_60654	HP_0034057
CHEBI_9513	HP_0034057
CHEBI_66903	HP_0034057
 CHEBI_51450	HP_0034057
 CHEBI_50172	HP_0034057
CHEBI_465284	HP_0034057
CHEBI_6067	HP_0034057
CHEBI_81570	HP_0034057
CHEBI_50859	HP_0034057
CHEBI_90863	HP_0034057
CHEBI_135949	HP_0034057
CHEBI_28001	HP_0034057
CHEBI_4027 	HP_0034057
CHEBI_53289	MONDO_0005227
CHEBI_50845	MONDO_0005227
CHEBI_9434	MONDO_0005227
CHEBI_4031	MONDO_0005227
CHEBI_63629	MONDO_0005227
CHEBI_5138	MONDO_0005227
CHEBI_8871	MONDO_0005227
CHEBI_51041	MONDO_0005227
CHEBI_408174	MONDO_0005227
CHEBI_63630	MONDO_0005227
CHEBI_9586	MONDO_0005227
CHEBI_4712	MONDO_0005227
CHEBI_8764	MONDO_0005227
CHEBI_35705	MONDO_0005227
CHEBI_2038	MONDO_0005227
 CHEBI_3216	MONDO_0005227
CHEBI_60761	MONDO_0005227
CHEBI_17252	MONDO_0005227
CHEBI_6402	MONDO_0005227
CHEBI_149836 	MONDO_0005227
 CHEBI_45081	MONDO_0005227
PR_000050305	MONDO_0005227
CHEBI_4875	MONDO_0005227
 CHEBI_7476	MONDO_0005227
CHEBI_7915	MONDO_0005227
CHEBI_50922	MONDO_0005227
CHEBI_64356	MONDO_0005227
CHEBI_42797	MONDO_0005227
PR_P01275	HP_0002027
CHEBI_5108	MONDO_0005227
 CHEBI_8356	MONDO_0005227
CHEBI_45716	MONDO_0005227
CHEBI_61049	MONDO_0005227
CHEBI_10125	MONDO_0005227
CHEBI_75283	MONDO_0005227
CHEBI_68478	HP_0001941
CHEBI_119915	HP_0001941
CHEBI_15428 	HP_0001941
 CHEBI_6456	HP_0001941
CHEBI_5165	HP_0001941
CHEBI_3215 	HP_0001941
CHEBI_48432 | CHEBI_58506	HP_0001941
CHEBI_30621	HP_0001941
CHEBI_9130	HP_0001941
CHEBI_49662	HP_0001941
CHEBI_4466	HP_0001941
CHEBI_600520	HP_0001941
CHEBI_35705	HP_0001941
CHEBI_8888	HP_0001941
CHEBI_75317	HP_0001941
CHEBI_17196	HP_0001941
CHEBI_2682	HP_0001941
CHEBI_8764	HP_0001941
CHEBI_17924 | CHEBI_30911	HP_0001941
CHEBI_5864	HP_0001941
CHEBI_15367 | CHEBI_26536	HP_0001941
 CHEBI_3082	HP_0001941
 CHEBI_6539	HP_0001941
CHEBI_78870	HP_0001941
CHEBI_60269 | CHEBI_127780	HP_0001941
 CHEBI_29864	HP_0001941
CHEBI_7731	HP_0001941
CHEBI_60799	HP_0025406
CHEBI_60799	HP_0000711
CHEBI_31536	MONDO_0006040
CHEBI_490877	MONDO_0006040
CHEBI_63581	MONDO_0006040
CHEBI_473990	MONDO_0006040
CHEBI_6213 | CHEBI_28918	MONDO_0006040
 CHEBI_63717	MONDO_0006040
CHEBI_40279	MONDO_0006040
CHEBI_63631	HP_0001947
CHEBI_2682	HP_0001947
CHEBI_5864	HP_0001947
CHEBI_60269 | CHEBI_127780	HP_0001947
CHEBI_44915	HP_0005972
PR_P60568	HP_0005972
CHEBI_9754	HP_0005972
CHEBI_4466	HP_0005972
CHEBI_63629	HP_0005972
CHEBI_64312	MONDO_0006515
CHEBI_65347	MONDO_0006515
CHEBI_64073	MONDO_0006515
 CHEBI_59594	MONDO_0006515
 CHEBI_45081	MONDO_0006515
CHEBI_39112	MONDO_0006515
CHEBI_4876	MONDO_0006515
CHEBI_76016	MONDO_0006515
CHEBI_135720	MONDO_0006515
CHEBI_83527	MONDO_0006515
CHEBI_71193	MONDO_0006515
CHEBI_2663	MONDO_0006515
CHEBI_35705	MONDO_0006515
CHEBI_71272	MONDO_0006515
CHEBI_135005	MONDO_0006515
CHEBI_49005	MONDO_0006515
CHEBI_68478	MONDO_0006515
CHEBI_50673	MONDO_0006515
CHEBI_72312	MONDO_0006515
CHEBI_71196	MONDO_0006515
 CHEBI_6129	MONDO_0006515
CHEBI_40237	MONDO_0006515
CHEBI_76004	MONDO_0006515
CHEBI_149836 	MONDO_0006515
 CHEBI_8024	MONDO_0006515
CHEBI_367163	MONDO_0006515
CHEBI_17196	MONDO_0006515
 CHEBI_60654	MONDO_0006515
CHEBI_4445	MONDO_0006515
CHEBI_50859	MONDO_0006515
CHEBI_49375	MONDO_0006515
CHEBI_84500	MONDO_0006515
CHEBI_7465	MONDO_0006515
CHEBI_8888	MONDO_0006515
CHEBI_7936	MONDO_0006515
CHEBI_52717	MONDO_0006515
CHEBI_68610	MONDO_0006515
CHEBI_4027 	MONDO_0006515
CHEBI_3766	MONDO_0006515
 CHEBI_36796	MONDO_0006515
CHEBI_17026	MONDO_0006515
CHEBI_47657	MONDO_0006515
CHEBI_10127	MONDO_0006515
CHEBI_70707	MONDO_0006515
CHEBI_167450	MONDO_0006515
CHEBI_41060	HP_0033331
CHEBI_8869	HP_0033331
CHEBI_85994	HP_0000846
CHEBI_6954	HP_0000846
