drug_obo_id	ind_obo_id
CHEBI_77733	MONDO_0006021
CHEBI_135876	MONDO_0001187
CHEBI_35854	MONDO_0043653
CHEBI_36373	MONDO_0011996
CHEBI_27375	MONDO_0009691
CHEBI_18385	MONDO_0008228
CHEBI_27375	MONDO_0009519
CHEBI_10100	MONDO_0004979
CHEBI_3002	MONDO_0004979
CHEBI_10023	MONDO_0044070
CHEBI_10112	MONDO_0004765
CHEBI_5520	MONDO_0001836
CHEBI_10112	MONDO_0004784
CHEBI_76114	MONDO_0008383
CHEBI_474180	MONDO_0044070
CHEBI_29013	MONDO_0005680
CHEBI_8654	MONDO_0005654
CHEBI_16359	MONDO_0008948
CHEBI_94820	MONDO_0001445
CHEBI_8746	HP_0025428
CHEBI_204734	MONDO_0004979
CHEBI_18357	MONDO_0004822
CHEBI_63082	MONDO_0004822
CHEBI_28918	MONDO_0004822
CHEBI_2955	MONDO_0004822
CHEBI_8245	MONDO_0004822
CHEBI_87184	MONDO_0005629
CHEBI_15407	HP_0025428
CHEBI_2549	HP_0025428
CHEBI_46659	HP_0025428
CHEBI_28177	HP_0025428
CHEBI_2659	HP_0025428
CHEBI_4728	HP_0025428
CHEBI_135333	MONDO_0002313
CHEBI_3048	MONDO_0001945
CHEBI_135772	MONDO_0001080
CHEBI_8245	MONDO_0003781
CHEBI_27902	MONDO_0003781
CHEBI_2659	MONDO_0003781
CHEBI_28918	MONDO_0003781
CHEBI_2682	MONDO_0003781
CHEBI_133011	MONDO_0003781
CHEBI_28177	MONDO_0003781
CHEBI_135772	MONDO_0005631
CHEBI_135772	MONDO_0005119
CHEBI_135772	MONDO_0004264
CHEBI_3077	MONDO_0008383
CHEBI_3077	MONDO_0004979
CHEBI_116278	MONDO_0003781
CHEBI_15407	MONDO_0003781
CHEBI_83329	MONDO_0003781
CHEBI_3077	MONDO_0015129
CHEBI_3077	MONDO_0005848
CHEBI_3077	MONDO_0011849
CHEBI_3077	MONDO_0001198
CHEBI_3077	MONDO_0015253
CHEBI_3077	MONDO_0009691
CHEBI_3077	MONDO_0000004
CHEBI_3077	MONDO_0006605
CHEBI_3077	MONDO_0007179
CHEBI_3077	MONDO_0020108
CHEBI_3077	MONDO_0018479
CHEBI_85537	MONDO_0005709
CHEBI_29013	MONDO_0003781
CHEBI_18357	MONDO_0003781
CHEBI_135772	MONDO_0003781
CHEBI_9449	MONDO_0003781
CHEBI_46659	MONDO_0003781
CHEBI_50694	MONDO_0003781
CHEBI_64355	MONDO_0005657
CHEBI_8357	MONDO_0002406
CHEBI_64355	MONDO_0005757|MONDO_0016823
CHEBI_135772	MONDO_0005683
CHEBI_2682	MONDO_0005683
CHEBI_17076	MONDO_0005683
CHEBI_29013	MONDO_0005683
CHEBI_27902	MONDO_0005683
CHEBI_133011	MONDO_0005683
CHEBI_36584	MONDO_0005709
CHEBI_9667	MONDO_0002471
CHEBI_9352	MONDO_0002471
CHEBI_50694	MONDO_0005683
CHEBI_4911	MONDO_0007243|MONDO_0020511
CHEBI_28445	MONDO_0007243|MONDO_0020511
CHEBI_28680	MONDO_0007243|MONDO_0020511
CHEBI_44185	MONDO_0007243|MONDO_0020511
CHEBI_9168	MONDO_0007243|MONDO_0020511
CHEBI_134893	MONDO_0005709
CHEBI_134867	MONDO_0002050
CHEBI_3077	MONDO_0002471
CHEBI_31677	MONDO_0002471
CHEBI_6128	MONDO_0002471
CHEBI_7476	MONDO_0002471
CHEBI_17650	MONDO_0002471
CHEBI_6888	MONDO_0002471
CHEBI_49662	MONDO_0002471
CHEBI_8378	MONDO_0002471
CHEBI_474180	MONDO_0002026
CHEBI_55346	MONDO_0002026
CHEBI_43415	MONDO_0008383
CHEBI_3133	MONDO_0004979
CHEBI_3127	MONDO_0004981
CHEBI_3133	MONDO_0004822
CHEBI_3133	MONDO_0003781
CHEBI_3745	MONDO_0024389
CHEBI_51230	MONDO_0001334
CHEBI_600520	MONDO_0002026
CHEBI_2682	MONDO_0002026
CHEBI_28834	MONDO_0002026
CHEBI_223316	MONDO_0005920
CHEBI_3112	MONDO_0001945
CHEBI_50659	MONDO_0004981
CHEBI_16997	MONDO_0006733
CHEBI_131716	MONDO_0004652
CHEBI_71229	MONDO_0004652
CHEBI_59177	MONDO_0005709
CHEBI_2682	MONDO_0000879
CHEBI_82892	MONDO_0000879
CHEBI_473992	MONDO_0000879
CHEBI_48339	MONDO_0000879
CHEBI_9667	MONDO_0000879
CHEBI_32246	MONDO_0004691
CHEBI_473992	MONDO_0005886
CHEBI_64355	MONDO_0002026
CHEBI_10023	MONDO_0002026
CHEBI_135927	MONDO_0004975
CHEBI_2922	MONDO_0008383
CHEBI_28838	MONDO_0006733
CHEBI_75179	MONDO_0021063
CHEBI_46345	MONDO_0021063
CHEBI_34911	MONDO_0004525
CHEBI_533015	MONDO_0002108
CHEBI_58448	MONDO_0002108
CHEBI_2682	MONDO_0005886
CHEBI_82892	MONDO_0005886
CHEBI_48339	MONDO_0005886
CHEBI_46081	MONDO_0005886
CHEBI_34911	MONDO_0003471
CHEBI_34911	MONDO_0001794
CHEBI_34911	MONDO_0003482
CHEBI_31348	MONDO_0019210
CHEBI_72564	MONDO_0019210
CHEBI_70718	MONDO_0020920
CHEBI_3207	MONDO_0004979
CHEBI_68575	MONDO_0004979
CHEBI_78538	MONDO_0019065
CHEBI_31941	MONDO_0041448
CHEBI_17609	MONDO_0008383
CHEBI_6504	MONDO_0008383
CHEBI_6504	MONDO_0004985
CHEBI_28177	MONDO_0005233
CHEBI_63616	MONDO_0005233
CHEBI_45863	MONDO_0005233
CHEBI_17609	MONDO_0002307
CHEBI_17609	MONDO_0002406
CHEBI_17609	MONDO_0011849
CHEBI_17609	MONDO_0009691
CHEBI_17439	MONDO_0008228
CHEBI_17609	MONDO_0002471
CHEBI_45863	MONDO_0019210
CHEBI_46345	MONDO_0019210
CHEBI_31941	MONDO_0000956
CHEBI_17609	MONDO_0004979
CHEBI_27899	MONDO_0005233
CHEBI_17609	MONDO_0001198
CHEBI_17609	MONDO_0000004
CHEBI_17609	MONDO_0007179
CHEBI_17609	MONDO_0020108
CHEBI_31355	MONDO_0005233
CHEBI_31348	MONDO_0005233
CHEBI_31941	MONDO_0005233
CHEBI_46345	MONDO_0005233
CHEBI_31638	MONDO_0005233
CHEBI_15640	MONDO_0005233
CHEBI_36560	MONDO_0000879
CHEBI_66903	MONDO_0020804
CHEBI_17833	MONDO_0004652
CHEBI_114785	MONDO_0005233
CHEBI_4027	MONDO_0005233
CHEBI_46793	MONDO_0006733
CHEBI_4672	MONDO_0005233
CHEBI_7507	MONDO_0002307
CHEBI_17833	MONDO_0002307
CHEBI_31607	MONDO_0001239
CHEBI_17833	MONDO_0004789
CHEBI_17833	MONDO_0020920
CHEBI_17246	MONDO_0006733
CHEBI_17833	MONDO_0040732
CHEBI_32687	MONDO_0003471
CHEBI_32687	MONDO_0001794
CHEBI_32687	MONDO_0003482
CHEBI_31159	MONDO_0008383
CHEBI_4911	MONDO_0005233
CHEBI_175901	MONDO_0005233
CHEBI_49668	MONDO_0005233
CHEBI_8346	MONDO_0005709
